state,date,enrol_post_secondary_both,enrol_post_secondary_female,enrol_post_secondary_male,enrol_primary_both,enrol_primary_female,enrol_primary_male,enrol_secondary_both,enrol_secondary_female,enrol_secondary_male,completion_primary_both,completion_primary_female,completion_primary_male,completion_secondary_lower_both,completion_secondary_lower_female,completion_secondary_lower_male,completion_secondary_upper_both,completion_secondary_upper_female,completion_secondary_upper_male,state_mean_income,state_median_income,poverty_absolute,poverty_hardcore,poverty_relative
Johor,2016-01-01,15839.92857142857,9514.17857142857,6325.75,482132.5,235009.79411764705,247122.70588235295,349306.9705882353,174807.08823529413,174499.88235294117,99.06,99.48,98.67,94.7645,96.7463,92.884,99.5156,99.9629,99.0459,7254.456364497771,5757.365593954657,0.0,0.0,13.5
Johor,2017-01-01,15839.92857142857,9514.17857142857,6325.75,653418.0,316928.0,336490.0,524138.0,265690.0,258448.0,99.14,99.71,98.59,99.5251,100.5709,98.5141,99.2906,100.545,97.966,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Johor,2018-01-01,27332.0,16902.0,10430.0,656186.0,318550.0,337636.0,480468.0,240310.0,240158.0,97.56,98.2,96.97,99.6891,99.4141,99.9562,93.7421,94.899,92.5617,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Johor,2019-01-01,25978.0,16056.0,9922.0,662260.0,322048.0,340212.0,472978.0,235782.0,237196.0,97.7,98.2,97.2,95.2,96.8,93.5,98.0,98.6,97.4,7058.7,5839.0,3.9,0.2,15.3
Johor,2020-01-01,14128.0,8012.0,6116.0,662380.0,322048.0,340332.0,473604.0,235376.0,238228.0,98.2,98.9,97.6,96.9,98.3,95.6,89.2,90.1,88.3,7254.456364497771,5757.365593954657,5.9,0.6,13.9
Johor,2021-01-01,13410.0,8026.0,5384.0,663754.0,322482.0,341272.0,477628.0,236126.0,241502.0,95.5,99.7,91.8,97.9,98.4,97.4,97.0,97.2,96.8,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Johor,2022-01-01,13876.0,7872.0,6004.0,662410.0,322326.0,340084.0,476982.0,234508.0,242474.0,99.0,99.3,98.7,100.1,97.6,102.5,98.1,98.5,97.8,7403.7,6019.5,4.6,0.1,15.9
Kedah,2016-01-01,15839.92857142857,9514.17857142857,6325.75,482132.5,235009.79411764705,247122.70588235295,349306.9705882353,174807.08823529413,174499.88235294117,99.97,100.85,99.11,95.9472,97.6341,94.3062,99.0933,98.8679,99.3418,7254.456364497771,5757.365593954657,0.2,0.0,15.9
Kedah,2017-01-01,15839.92857142857,9514.17857142857,6325.75,380056.0,186006.0,194050.0,319224.0,166280.0,152944.0,100.12,100.84,99.43,97.3087,97.6467,96.9697,97.451,98.573,96.2206,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Kedah,2018-01-01,18324.0,12020.0,6304.0,379594.0,186178.0,193416.0,287070.0,146630.0,140440.0,100.34,101.4,99.33,96.3721,97.7081,95.0751,95.7661,97.5336,93.9202,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Kedah,2019-01-01,17616.0,11632.0,5984.0,379938.0,186182.0,193756.0,280692.0,143102.0,137590.0,100.2,100.8,99.6,96.1,98.1,94.1,96.6,97.9,95.3,5255.75,4243.416666666667,8.8,0.5,10.9
Kedah,2020-01-01,10206.0,6410.0,3796.0,378340.0,185790.0,192550.0,278384.0,141408.0,136976.0,100.1,100.9,99.3,96.8,98.6,95.0,96.7,97.9,95.5,7254.456364497771,5757.365593954657,12.7,1.5,10.0
Kedah,2021-01-01,9276.0,5682.0,3594.0,378490.0,185404.0,193086.0,282432.0,142760.0,139672.0,97.2,99.3,95.3,100.3,100.9,99.7,100.5,100.0,101.2,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
